,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
24,ExtraTrees,7,872.0,99.0,93.33,97.67,96.25,95.45,4
19,ExtraTrees,7,504.0,98.0,92.42,91.04,97.35,91.73,3
4,ExtraTrees,7,510.0,100.0,98.77,86.02,99.49,91.95,0
14,ExtraTrees,7,470.0,98.0,78.38,92.06,92.76,84.67,2
9,ExtraTrees,7,510.0,99.0,87.36,97.44,94.55,92.12,1
22,KNN,7,693.0,91.0,100.0,34.88,100.0,51.72,4
17,KNN,7,273.0,77.0,85.71,26.87,98.41,40.91,3
12,KNN,7,252.0,75.0,62.16,36.51,93.67,46.0,2
2,KNN,7,252.0,76.0,86.67,13.98,98.98,24.07,0
7,KNN,7,252.0,88.0,87.8,46.15,97.52,60.5,1
0,LogisticCV,7,78.0,99.0,96.92,67.74,98.98,79.75,0
10,LogisticCV,7,77.0,97.0,71.43,95.24,89.14,81.63,2
20,LogisticCV,7,166.0,99.0,100.0,93.02,100.0,96.39,4
5,LogisticCV,7,81.0,98.0,86.9,93.59,94.55,90.12,1
15,LogisticCV,7,84.0,98.0,90.91,89.55,96.83,90.23,3
1,RandomForest,7,154.0,99.0,98.63,77.42,99.49,86.75,0
21,RandomForest,7,348.0,99.0,93.18,95.35,96.25,94.25,4
16,RandomForest,7,173.0,98.0,90.91,89.55,96.83,90.23,3
11,RandomForest,7,158.0,98.0,74.67,88.89,91.4,81.16,2
6,RandomForest,7,162.0,99.0,88.37,97.44,95.05,92.68,1
18,RidgeCV,7,32.0,98.0,93.1,80.6,97.88,86.4,3
13,RidgeCV,7,31.0,97.0,77.03,90.48,92.31,83.21,2
23,RidgeCV,7,40.0,99.0,97.5,90.7,98.75,93.98,4
3,RidgeCV,7,31.0,99.0,98.25,60.22,99.49,74.67,0
8,RidgeCV,7,31.0,99.0,92.31,92.31,97.03,92.31,1
