,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
3,Catch22,7,15900.0,100.0,97.83,96.77,98.98,97.3,0
18,Catch22,7,16023.0,98.0,89.86,92.54,96.3,91.18,3
8,Catch22,7,15450.0,99.0,84.62,98.72,93.07,91.12,1
13,Catch22,7,16402.0,98.0,88.71,87.3,96.83,88.0,2
23,Catch22,7,35412.0,100.0,100.0,100.0,100.0,100.0,4
0,Hydra,7,63763.0,97.0,100.0,93.55,100.0,96.67,0
20,Hydra,7,126369.0,100.0,100.0,100.0,100.0,100.0,4
5,Hydra,7,61730.0,98.0,91.67,98.72,96.53,95.06,1
15,Hydra,7,66304.0,92.0,86.96,89.55,95.24,88.24,3
10,Hydra,7,60059.0,98.0,98.39,96.83,99.55,97.6,2
2,MultiRocketHydra,7,67901.0,98.0,98.9,96.77,99.49,97.83,0
7,MultiRocketHydra,7,75341.0,98.0,88.64,100.0,95.05,93.98,1
12,MultiRocketHydra,7,69565.0,98.0,98.39,96.83,99.55,97.6,2
17,MultiRocketHydra,7,74574.0,99.0,95.71,100.0,98.41,97.81,3
22,MultiRocketHydra,7,143642.0,99.0,97.73,100.0,98.75,98.85,4
9,QUANT,7,13482.0,100.0,89.53,98.72,95.54,93.9,1
14,QUANT,7,12348.0,100.0,96.72,93.65,99.1,95.16,2
4,QUANT,7,9446.0,100.0,98.89,95.7,99.49,97.27,0
19,QUANT,7,17274.0,100.0,94.37,100.0,97.88,97.1,3
24,QUANT,7,29877.0,100.0,100.0,97.67,100.0,98.82,4
16,Rocket,7,13406.0,93.0,92.19,88.06,97.35,90.08,3
6,Rocket,7,12118.0,97.0,94.94,96.15,98.02,95.54,1
21,Rocket,7,26186.0,99.0,95.56,100.0,97.5,97.73,4
1,Rocket,7,11915.0,96.0,100.0,91.4,100.0,95.51,0
11,Rocket,7,12249.0,97.0,98.36,95.24,99.55,96.77,2
