,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
24,ExtraTrees,7,505.0,100.0,100.0,88.68,100.0,94.0,4
19,ExtraTrees,7,650.0,100.0,100.0,88.89,100.0,94.12,3
4,ExtraTrees,7,372.0,99.0,72.73,88.89,97.04,80.0,0
14,ExtraTrees,7,1097.0,98.0,89.47,85.0,97.33,87.18,2
9,ExtraTrees,7,251.0,99.0,94.12,61.54,99.79,74.42,1
22,KNN,7,125.0,87.0,100.0,26.42,100.0,41.79,4
17,KNN,7,180.0,86.0,100.0,44.44,100.0,61.54,3
12,KNN,7,327.0,65.0,40.0,40.0,84.0,40.0,2
2,KNN,7,138.0,80.0,60.0,55.56,96.71,57.69,0
7,KNN,7,69.0,78.0,85.71,23.08,99.79,36.36,1
0,LogisticCV,7,57.0,97.0,85.71,88.89,98.68,87.27,0
10,LogisticCV,7,78.0,93.0,80.95,85.0,94.67,82.93,2
20,LogisticCV,7,75.0,97.0,95.74,84.91,98.86,90.0,4
5,LogisticCV,7,40.0,88.0,73.68,53.85,98.97,62.22,1
15,LogisticCV,7,71.0,95.0,100.0,72.22,100.0,83.87,3
1,RandomForest,7,68.0,99.0,69.44,92.59,96.38,79.37,0
21,RandomForest,7,94.0,100.0,100.0,84.91,100.0,91.84,4
16,RandomForest,7,142.0,100.0,94.12,88.89,99.23,91.43,3
11,RandomForest,7,217.0,98.0,85.0,85.0,96.0,85.0,2
6,RandomForest,7,45.0,98.0,94.44,65.38,99.79,77.27,1
18,RidgeCV,7,99.0,98.0,100.0,66.67,100.0,80.0,3
13,RidgeCV,7,26.0,96.0,93.75,75.0,98.67,83.33,2
23,RidgeCV,7,17.0,98.0,100.0,71.7,100.0,83.52,4
3,RidgeCV,7,15.0,97.0,100.0,74.07,100.0,85.11,0
8,RidgeCV,7,13.0,91.0,100.0,50.0,100.0,66.67,1
