,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
3,Catch22,7,5813.0,96.0,76.67,85.19,97.7,80.7,0
18,Catch22,7,9266.0,99.0,84.62,61.11,98.46,70.97,3
8,Catch22,7,4123.0,95.0,76.19,61.54,98.97,68.09,1
13,Catch22,7,17887.0,95.0,65.22,75.0,89.33,69.77,2
23,Catch22,7,7613.0,98.0,93.18,77.36,98.29,84.54,4
0,Hydra,7,18167.0,98.0,96.3,96.3,99.67,96.3,0
20,Hydra,7,30294.0,97.0,94.44,96.23,98.29,95.33,4
5,Hydra,7,17190.0,85.0,94.74,69.23,99.79,80.0,1
15,Hydra,7,37209.0,94.0,94.12,88.89,99.23,91.43,3
10,Hydra,7,61403.0,96.0,86.36,95.0,96.0,90.48,2
2,MultiRocketHydra,7,25117.0,98.0,89.66,96.3,99.01,92.86,0
7,MultiRocketHydra,7,19400.0,85.0,94.74,69.23,99.79,80.0,1
12,MultiRocketHydra,7,69730.0,92.0,81.82,90.0,94.67,85.71,2
17,MultiRocketHydra,7,44917.0,94.0,94.12,88.89,99.23,91.43,3
22,MultiRocketHydra,7,33277.0,96.0,96.08,92.45,98.86,94.23,4
9,QUANT,7,7947.0,99.0,94.74,69.23,99.79,80.0,1
14,QUANT,7,18175.0,98.0,86.36,95.0,96.0,90.48,2
4,QUANT,7,5387.0,100.0,80.65,92.59,98.03,86.21,0
19,QUANT,7,8314.0,100.0,89.47,94.44,98.46,91.89,3
24,QUANT,7,10515.0,100.0,98.0,92.45,99.43,95.15,4
16,Rocket,7,8424.0,94.0,94.12,88.89,99.23,91.43,3
6,Rocket,7,2822.0,86.0,82.61,73.08,99.18,77.55,1
21,Rocket,7,5936.0,90.0,91.67,83.02,97.71,87.13,4
1,Rocket,7,3903.0,95.0,78.12,92.59,97.7,84.75,0
11,Rocket,7,12612.0,87.0,93.75,75.0,98.67,83.33,2
