,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
24,ExtraTrees,7,127.0,98.0,94.02,65.78,99.42,77.4,4
19,ExtraTrees,7,127.0,100.0,85.71,75.59,99.25,80.33,3
4,ExtraTrees,7,139.0,99.0,99.2,63.27,99.95,77.26,0
14,ExtraTrees,7,128.0,98.0,86.86,73.43,98.92,79.58,2
9,ExtraTrees,7,123.0,99.0,89.79,84.7,98.27,87.17,1
22,KNN,7,314.0,93.0,77.35,68.82,97.21,72.84,4
17,KNN,7,297.0,97.0,84.09,87.4,99.01,85.71,3
12,KNN,7,285.0,92.0,85.23,72.46,98.78,78.33,2
2,KNN,7,313.0,96.0,90.3,76.02,99.15,82.55,0
7,KNN,7,282.0,98.0,87.92,82.44,97.96,85.09,1
0,LogisticCV,7,70.0,70.0,33.33,15.82,96.71,21.45,0
10,LogisticCV,7,65.0,77.0,42.55,19.32,97.47,26.58,2
20,LogisticCV,7,74.0,73.0,53.85,10.65,98.74,17.78,4
5,LogisticCV,7,66.0,82.0,100.0,0.0,100.0,0.0,1
15,LogisticCV,7,70.0,75.0,37.74,15.75,98.45,22.22,3
1,RandomForest,7,168.0,98.0,98.33,60.2,99.89,74.68,0
21,RandomForest,7,152.0,96.0,91.33,60.08,99.21,72.48,4
16,RandomForest,7,158.0,99.0,89.0,70.08,99.48,78.41,3
11,RandomForest,7,151.0,97.0,86.23,69.57,98.92,77.01,2
6,RandomForest,7,153.0,98.0,90.91,79.32,98.57,84.72,1
18,RidgeCV,7,18.0,70.0,100.0,2.36,100.0,4.62,3
13,RidgeCV,7,19.0,77.0,71.43,2.42,99.91,4.67,2
23,RidgeCV,7,18.0,72.0,100.0,0.76,100.0,1.51,4
3,RidgeCV,7,17.0,72.0,100.0,0.51,100.0,1.02,0
8,RidgeCV,7,18.0,78.0,100.0,0.0,100.0,0.0,1
