,model,window_size,runtime,auc,precision,recall,specificity,f1-score,Dataset
0,ExtraTrees,7.0 $\pm$ 0.0,575.0 $\pm$ 327.56,99.2 $\pm$ 0.84,91.26 $\pm$ 11.26,82.6 $\pm$ 11.89,98.83 $\pm$ 1.51,85.94 $\pm$ 8.68,FARSEEING
1,KNN,7.0 $\pm$ 0.0,167.8 $\pm$ 97.44,79.2 $\pm$ 8.81,77.14 $\pm$ 26.42,37.9 $\pm$ 13.33,96.1 $\pm$ 6.91,47.48 $\pm$ 11.33,FARSEEING
2,LogisticCV,7.0 $\pm$ 0.0,64.2 $\pm$ 15.74,94.0 $\pm$ 3.74,87.22 $\pm$ 10.73,76.97 $\pm$ 14.38,98.24 $\pm$ 2.06,81.26 $\pm$ 11.01,FARSEEING
3,RandomForest,7.0 $\pm$ 0.0,113.2 $\pm$ 68.31,99.0 $\pm$ 1.0,88.6 $\pm$ 11.99,83.35 $\pm$ 10.54,98.28 $\pm$ 1.93,84.98 $\pm$ 6.7,FARSEEING
4,RidgeCV,7.0 $\pm$ 0.0,34.0 $\pm$ 36.67,96.0 $\pm$ 2.92,98.75 $\pm$ 2.8,67.49 $\pm$ 10.3,99.73 $\pm$ 0.59,79.73 $\pm$ 7.53,FARSEEING
5,ExtraTrees,7.0 $\pm$ 0.0,573.2 $\pm$ 167.86,98.8 $\pm$ 0.84,90.05 $\pm$ 7.68,92.85 $\pm$ 4.87,96.08 $\pm$ 2.58,91.18 $\pm$ 3.95,FallAllD
6,KNN,7.0 $\pm$ 0.0,344.4 $\pm$ 195.09,81.4 $\pm$ 7.5,84.47 $\pm$ 13.75,31.68 $\pm$ 12.04,97.72 $\pm$ 2.43,44.64 $\pm$ 13.61,FallAllD
7,LogisticCV,7.0 $\pm$ 0.0,97.2 $\pm$ 38.56,98.2 $\pm$ 0.84,89.23 $\pm$ 11.18,87.83 $\pm$ 11.42,95.9 $\pm$ 4.32,87.62 $\pm$ 6.85,FallAllD
8,RandomForest,7.0 $\pm$ 0.0,199.0 $\pm$ 83.59,98.6 $\pm$ 0.55,89.15 $\pm$ 8.94,89.73 $\pm$ 7.8,95.8 $\pm$ 2.95,89.01 $\pm$ 5.22,FallAllD
9,RidgeCV,7.0 $\pm$ 0.0,33.0 $\pm$ 3.94,98.4 $\pm$ 0.89,91.64 $\pm$ 8.57,82.86 $\pm$ 13.48,97.09 $\pm$ 2.83,86.11 $\pm$ 7.74,FallAllD
10,ExtraTrees,7.0 $\pm$ 0.0,128.8 $\pm$ 6.02,98.8 $\pm$ 0.84,91.12 $\pm$ 5.54,72.55 $\pm$ 8.51,99.16 $\pm$ 0.62,80.35 $\pm$ 4.04,SisFall
11,KNN,7.0 $\pm$ 0.0,298.2 $\pm$ 15.06,95.2 $\pm$ 2.59,84.98 $\pm$ 4.9,77.43 $\pm$ 7.51,98.42 $\pm$ 0.82,80.9 $\pm$ 5.36,SisFall
12,LogisticCV,7.0 $\pm$ 0.0,69.0 $\pm$ 3.61,75.4 $\pm$ 4.51,53.49 $\pm$ 27.1,12.31 $\pm$ 7.54,98.27 $\pm$ 1.26,17.61 $\pm$ 10.33,SisFall
13,RandomForest,7.0 $\pm$ 0.0,156.4 $\pm$ 7.02,97.6 $\pm$ 1.14,91.16 $\pm$ 4.49,67.85 $\pm$ 8.04,99.21 $\pm$ 0.51,77.46 $\pm$ 4.65,SisFall
14,RidgeCV,7.0 $\pm$ 0.0,18.0 $\pm$ 0.71,73.8 $\pm$ 3.49,94.29 $\pm$ 12.78,1.21 $\pm$ 1.11,99.98 $\pm$ 0.04,2.36 $\pm$ 2.15,SisFall
