,model,window_size,runtime,auc,precision,recall,specificity,f1-score,Dataset
0,Catch22,7.0 $\pm$ 0.0,8940.4 $\pm$ 5359.52,96.6 $\pm$ 1.82,79.18 $\pm$ 10.44,72.04 $\pm$ 10.48,96.55 $\pm$ 4.06,74.81 $\pm$ 7.33,FARSEEING
1,Hydra,7.0 $\pm$ 0.0,32852.6 $\pm$ 18039.08,94.0 $\pm$ 5.24,93.19 $\pm$ 3.91,89.13 $\pm$ 11.54,98.6 $\pm$ 1.57,90.71 $\pm$ 6.48,FARSEEING
2,MultiRocketHydra,7.0 $\pm$ 0.0,38488.2 $\pm$ 19922.88,93.0 $\pm$ 5.0,91.28 $\pm$ 5.81,87.37 $\pm$ 10.53,98.31 $\pm$ 2.07,88.85 $\pm$ 5.91,FARSEEING
3,QUANT,7.0 $\pm$ 0.0,10067.6 $\pm$ 4883.91,99.4 $\pm$ 0.89,89.84 $\pm$ 6.84,88.74 $\pm$ 10.96,98.34 $\pm$ 1.49,88.75 $\pm$ 5.85,FARSEEING
4,Rocket,7.0 $\pm$ 0.0,6739.4 $\pm$ 3916.69,90.4 $\pm$ 4.04,88.05 $\pm$ 7.26,82.52 $\pm$ 8.48,98.5 $\pm$ 0.76,84.84 $\pm$ 5.1,FARSEEING
5,Catch22,7.0 $\pm$ 0.0,19837.4 $\pm$ 8713.1,99.0 $\pm$ 1.0,92.2 $\pm$ 6.47,95.07 $\pm$ 5.18,97.04 $\pm$ 2.69,93.52 $\pm$ 4.95,FallAllD
6,Hydra,7.0 $\pm$ 0.0,75645.0 $\pm$ 28451.32,97.0 $\pm$ 3.0,95.4 $\pm$ 5.84,95.73 $\pm$ 4.22,98.26 $\pm$ 2.23,95.51 $\pm$ 4.44,FallAllD
7,MultiRocketHydra,7.0 $\pm$ 0.0,86204.6 $\pm$ 32265.47,98.4 $\pm$ 0.55,95.87 $\pm$ 4.22,98.72 $\pm$ 1.75,98.25 $\pm$ 1.85,97.21 $\pm$ 1.87,FallAllD
8,QUANT,7.0 $\pm$ 0.0,16485.4 $\pm$ 7994.51,100.0 $\pm$ 0.0,95.9 $\pm$ 4.16,97.15 $\pm$ 2.51,98.4 $\pm$ 1.78,96.45 $\pm$ 1.93,FallAllD
9,Rocket,7.0 $\pm$ 0.0,15174.8 $\pm$ 6182.75,96.4 $\pm$ 2.19,96.21 $\pm$ 3.05,94.17 $\pm$ 4.58,98.48 $\pm$ 1.21,95.13 $\pm$ 2.97,FallAllD
10,Catch22,7.0 $\pm$ 0.0,13335.4 $\pm$ 2086.65,99.4 $\pm$ 0.55,94.49 $\pm$ 6.39,89.71 $\pm$ 6.02,99.41 $\pm$ 0.73,91.85 $\pm$ 4.27,SisFall
11,Hydra,7.0 $\pm$ 0.0,35549.8 $\pm$ 1651.15,97.0 $\pm$ 2.12,96.69 $\pm$ 1.76,94.44 $\pm$ 4.86,99.68 $\pm$ 0.2,95.51 $\pm$ 2.86,SisFall
12,MultiRocketHydra,7.0 $\pm$ 0.0,40045.4 $\pm$ 1749.63,97.4 $\pm$ 2.41,99.16 $\pm$ 1.35,94.43 $\pm$ 4.75,99.92 $\pm$ 0.12,96.7 $\pm$ 2.92,SisFall
13,QUANT,7.0 $\pm$ 0.0,4651.6 $\pm$ 876.15,99.8 $\pm$ 0.45,95.57 $\pm$ 4.99,93.09 $\pm$ 4.1,99.52 $\pm$ 0.47,94.3 $\pm$ 4.26,SisFall
14,Rocket,7.0 $\pm$ 0.0,8791.0 $\pm$ 268.99,96.0 $\pm$ 2.83,95.49 $\pm$ 5.3,92.29 $\pm$ 6.23,99.61 $\pm$ 0.5,93.69 $\pm$ 3.62,SisFall
